Geneid	HMEC_C3
113802	10
55119	256
163479	0
6814	443
254268	6
642864	0
29899	611
23155	326
22911	383
6884	309
56900	1239
677766	10588
127003	3
57535	1
6301	1122
1952	21
84722	204
343263	0
6272	15
5686	1194
284612	0
127002	36
284613	40
57463	11
83873	1
2773	2577
406974	6
2780	8
271	1079
2948	41
2946	13
2944	0
2949	0
2947	48
79574	0
1435	71
10768	1909
85369	262
257	18
104355139	0
164153	0
388662	1
100873974	3
3749	129
440600	5
64783	318
9122	2336
10542	537
101410535	1
84432	0
643160	0
440602	0
3744	0
3737	0
3738	0
963	4
55791	423
128338	872
10390	504
79961	4
1117	1
149620	0
27159	0
128344	0
441897	0
5016	5
79084	245
515	3226
128346	5
57413	0
140	0
100129269	0
5906	626
55924	61
100506343	21
101928718	1
11218	389
3752	0
100874295	0
100873995	0
643355	0
55917	353
100422976	0
7482	20
54879	139
829	5913
4343	425
389	2131
333926	35
284467	12
100996702	42
6566	1534
246182	10
100506392	24
100996251	7
9860	384
643441	0
260425	284
10745	288
54665	443
100287722	2
26191	479
440603	1
10717	289
64858	130
101928846	0
204851	1099
56944	616
148281	22
51592	790
10286	516
163259	19
270	0
4893	2279
7812	8145
80143	1044
6847	0
7252	0
10100	0
4803	45
81839	773
845	1
4808	0
101928995	0
101928977	2
55356	123
126868	4
476	1517
84852	20
101929023	0
965	176
100616384	0
3321	89
100302117	0
388667	0
914	0
5738	910
9398	3
101929099	0
8458	335
100126331	0
80263	48
79679	0
104355292	0
10905	1181
100996263	0
54855	34
54834	579
10885	706
200162	1
6913	22
10352	177
104472716	0
101929147	20
51179	1
100874270	0
3284	0
3283	0
128102	18
644242	58
90874	354
26227	347
3158	0
83998	1
343505	0
11085	0
4853	6006
9554	1517
105378954	6
728841	534
767846	15
100996724	404
101929796	86
101060684	158
100189005	23
101954277	49
653505	0
728855	1
101954264	2
100189257	0
105369199	0
100996721	0
100126488	8
101929798	0
2210	0
100996318	0
337875	0
653820	52
653464	245
100873165	0
647121	9
101929815	0
100189261	0
101954269	0
26863	63
791227	0
105369140	0
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	0
100996713	0
554282	2
100996712	6
101060524	0
730262	0
101954267	42
100189323	30
284565	887
100189127	0
728945	0
105371215	0
1818	0
645166	6
647135	204
728833	61
101929805	1
102724235	1
103091866	29
645142	0
101954266	58
7214	38
100288142	228
100126510	0
101060254	0
101929780	15
653519	346
5174	25
11126	6
27246	453
10623	578
200035	34
10401	983
102466191	0
148741	1
8515	108
8799	606
114814	38
9939	585
128077	1821
84265	199
284615	46
10628	9798
148738	2
100189384	0
100189064	0
100188991	2
100189198	1
101954276	73
101928979	20
100132406	452
388677	839
170688	0
105371242	0
102724558	0
100288805	0
105373468	11
149013	162
728989	0
100189334	4
101447996	28
644861	0
5565	618
171423	57
2330	26
9557	757
100289211	0
607	107
51205	98
2702	17
2703	0
51463	136
100034743	11
100189140	0
26864	49
100189193	0
200030	134
101927468	0
100189056	9
100189307	0
100189174	0
100188998	0
100847044	31
101954273	0
102466225	4
26860	6
100132057	5
101954272	0
388685	27
644591	0
25832	1070
100996763	712
440672	1
9659	2853
400818	400
653513	143
100996761	8
101060226	341
653598	0
57234	7
644634	0
100189228	0
102723955	0
100189059	0
440689	1942
2209	0
101927767	0
653604	1514
8370	84
105371405	0
126961	11
8337	85
337873	24
723790	23
333932	8
554313	30
8349	3174
8338	6890
317772	2076
51027	56
9900	463
10262	262
10903	558
56957	268
105373477	1
11311	404
51177	631
81611	447
23632	9
51107	1802
79630	15
148523	14
54460	2292
9129	672
23248	433
80222	473
102465529	0
1893	435
100874054	6
54507	128
105371437	1
100422997	0
574406	65
4170	15712
2029	1927
55204	664
84072	0
1520	610
1513	66
405	697
9869	516
29956	4560
8416	24
55793	34
58497	256
149428	6
54964	47
56882	624
10962	816
126626	83
10500	42
100534012	0
79626	1
388695	214
79005	32
29765	6
6944	1087
8394	2445
5710	1217
57592	675
5298	925
5993	1403
8991	0
5692	8755
23126	1103
57530	0
7286	33
693139	0
81609	731
11189	4
284485	0
65005	571
51686	19
11022	123
339398	0
6097	0
100191040	3
100132111	2
284486	0
117145	249
6281	6057
441908	0
6282	2393
100131107	0
126637	0
7062	2
126638	0
388697	1
2312	0
339400	0
388698	0
49860	0
254910	0
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	0
6698	0
6707	0
6699	0
6703	0
6700	0
6701	0
6704	0
6705	0
6702	0
6706	0
101928009	0
149018	0
574414	1
4014	0
114771	0
57115	0
6280	329
6283	1
6279	105
338324	0
645922	0
6278	6
6277	44694
6276	14
6275	1292
101928034	2
6274	96
6273	596
140576	9365
57402	2
6284	3582
6271	14
26097	235
23557	562
3608	4321
100189015	7
4881	71
102466879	0
65123	8
11000	0
343052	0
105371448	0
57459	11
9909	384
200186	226
27173	2762
102465441	0
148327	133
10899	2306
5872	1788
6232	23022
91181	15
100847024	0
7170	6165
100126346	0
388701	0
25912	1077
9898	1783
10456	2436
89872	0
57198	467
3570	153
126669	2
126668	0
55585	462
100874097	3
1141	10
103	3432
3782	21
10654	78
57326	201
90780	514
101928120	7
6464	6763
1163	1265
100423020	0
80308	473
55891	1
51043	287
127579	4
149095	4
100505666	7
8751	1826
1945	143
1944	32
1942	38
55974	1898
54344	1540
200185	870
80128	36
4582	44
693235	1
7059	129
4580	470
2630	10
2629	66
10712	0
10067	0
1196	0
57657	0
5313	0
2224	4880
284618	9
23623	321
55870	1644
693140	0
645682	1
645676	56
55154	90
55249	576
7818	2238
100129405	17
54856	500
23208	505
6016	929
22889	620
677823	0
677771	3
339403	5
