Geneid	HMECPIT1_1
100996712	18
101060524	0
730262	0
101954267	46
100189323	14
284565	776
100189127	0
728945	0
105371215	0
1818	0
645166	10
647135	278
728833	52
101929805	0
102724235	7
103091866	44
645142	1
101954266	58
7214	25
100288142	146
100126510	0
101060254	0
101929780	24
653519	262
5174	8
11126	4
27246	490
10623	725
200035	46
10401	1065
102466191	0
148741	0
8515	102
8799	587
114814	32
9939	671
128077	1946
84265	193
284615	50
10628	10853
148738	0
100189384	0
100189064	0
100188991	0
100189198	2
101954276	103
101928979	26
100132406	414
388677	662
170688	0
105371242	0
102724558	2
100288805	0
105373468	9
149013	166
728989	0
100189334	0
101447996	38
644861	0
5565	547
171423	63
2330	10
9557	911
100289211	0
607	94
51205	97
2702	25
2703	0
51463	138
100034743	10
100189140	0
26864	66
100189193	0
200030	123
101927468	0
100189056	3
100189307	0
100189174	0
100188998	0
100847044	95
101954273	0
102466225	2
26860	10
100132057	3
101954272	4
388685	39
644591	0
25832	1005
100996763	644
440672	1
9659	3352
400818	418
653513	195
100996761	12
101060226	362
653598	1
57234	4
644634	0
100189228	0
102723955	0
100189059	0
440689	3249
2209	0
101927767	0
653604	2557
8370	153
105371405	1
126961	45
8337	140
337873	19
723790	133
333932	67
554313	26
8349	4517
8338	8628
317772	3066
51027	84
9900	378
10262	312
10903	540
56957	305
105373477	7
11311	509
51177	684
81611	618
23632	6
51107	1939
79630	12
148523	10
54460	2652
9129	648
23248	496
80222	485
102465529	0
1893	622
100874054	6
54507	126
105371437	0
100422997	0
574406	36
4170	16926
2029	2399
55204	821
84072	0
1520	596
1513	43
405	770
9869	529
29956	4607
8416	20
55793	59
58497	317
149428	3
54964	46
56882	587
10962	851
126626	102
10500	22
100534012	0
79626	0
388695	260
79005	29
29765	2
6944	1072
8394	2808
5710	1449
57592	693
5298	991
5993	1431
8991	0
5692	10339
23126	1169
57530	0
7286	46
693139	0
81609	836
11189	5
284485	0
65005	682
51686	17
11022	118
339398	0
6097	0
100191040	1
100132111	0
284486	1
117145	235
6281	6083
441908	0
6282	3031
100131107	0
126637	0
7062	0
126638	2
388697	1
2312	0
339400	0
388698	0
49860	0
254910	0
54544	1
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	1
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	0
6698	0
6707	0
6699	0
6703	2
6700	0
6701	0
6704	0
6705	0
6702	0
6706	0
101928009	0
149018	0
574414	2
4014	0
114771	0
57115	0
6280	339
6283	1
6279	149
338324	0
645922	0
6278	1
6277	52062
6276	8
6275	1646
101928034	1
6274	137
6273	728
140576	10836
57402	0
6284	3848
6271	8
26097	236
23557	623
3608	4809
100189015	8
4881	78
102466879	0
65123	8
11000	20
343052	0
105371448	0
57459	28
9909	475
200186	202
27173	3218
102465441	0
148327	161
10899	2404
5872	1967
6232	25007
91181	13
100847024	0
7170	8044
100126346	0
388701	0
25912	1205
9898	1667
10456	3133
89872	0
57198	493
3570	195
126669	0
126668	0
55585	487
100874097	7
1141	8
103	3722
3782	24
10654	120
57326	178
90780	469
101928120	17
6464	7032
1163	1836
100423020	2
80308	543
55891	3
51043	304
127579	1
149095	0
100505666	19
8751	1656
1945	154
1944	32
1942	29
55974	1791
54344	1891
200185	1100
80128	36
4582	29
693235	0
7059	80
4580	490
2630	7
2629	13
10712	0
10067	0
1196	0
57657	0
5313	0
2224	4300
284618	8
23623	406
55870	1715
693140	0
645682	4
645676	28
55154	73
55249	670
7818	2376
100129405	26
54856	495
23208	547
6016	995
22889	530
677823	2
677771	4
339403	3
9181	856
102465442	1
105371729	0
6746	7783
56893	395
28956	488
57111	0
92312	66
4000	12036
64218	18
9673	297
11243	360
100527963	1
632	0
79957	35
23381	2305
84283	78
112770	714
391104	0
7203	8447
128229	1
57127	0
10485	0
407046	0
4209	430
128239	726
164118	0
128240	2316
54865	208
101928177	0
60484	2
63827	2
10763	28
1382	6
81875	687
51093	205
79590	776
3068	12930
5546	543
9047	116
4914	16
3645	0
375033	125
149499	3
9826	427
768220	0
440695	0
2117	521
360155	0
83416	0
83417	0
115352	0
79368	0
115350	0
922	0
55243	2306
646268	0
912	53
909	0
911	0
910	0
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	0
81448	4
391114	0
128371	0
128372	0
81442	0
4332	0
149628	0
3428	1135
9447	1
100189166	0
57863	0
100131825	0
2532	0
2205	0
441911	0
26476	0
127385	0
325	0
1401	0
54935	473
343413	1
56833	11
284677	42
391123	18
25790	18
100422852	0
8407	4250
57549	0
89886	0
100505633	0
93183	56
3766	0
3765	0
93185	1689
477	0
480	0
844	0
729867	2
8682	1677
50717	1284
5824	2200
4807	1
1314	7552
474338	5
23385	1294
57216	0
114836	0
8832	0
6504	0
962	0
57823	0
4063	0
51744	0
55600	0
101928372	0
142683	0
50848	1238
100131187	0
7391	607
257106	4
81607	0
126823	2
5202	322
4817	791
9191	433
51506	1096
27005	177
5498	395
8703	497
9507	952
4720	1005
2207	2
336	2
84134	210
100847090	0
9970	0
654790	0
4359	2
6391	943
257177	94
100189373	3
100189407	1
100189402	2
100188997	0
100189412	0
100189394	0
100189366	0
100189091	0
100189260	0
100189235	0
100189009	0
100189252	0
100189385	0
100189141	0
100189290	0
100189316	0
100189230	0
100189259	0
100189188	0
100189134	0
100189364	0
100189160	0
100189017	0
100189039	0
100189120	0
100189139	0
100189274	0
2212	1
100189380	0
3310	7
100189018	0
100189011	6
100189126	2
2214	0
9103	0
3311	6
100189003	0
2215	0
2213	1
641311	0
84824	129
127943	62
11266	441
102724329	1
22926	1868
25903	115
9722	1
100616386	0
693141	0
284680	1
400793	2
117157	1
127933	12466
6675	2710
4921	5970
51478	601
339512	51
5999	457
8490	102
101928404	0
83540	927
100422212	0
5087	143
100505795	0
4009	0
6258	0
400794	0
440699	0
4259	3581
223	1041
440700	0
54499	3309
100147773	2
7371	641
100500832	0
149297	1
100126349	0
116123	0
57645	659
117143	306
387597	0
84944	0
10223	0
92235	0
101928484	0
5451	312
919	6
8804	2561
92241	19
100189211	0
100189019	0
9019	5431
55811	7
25874	2110
55827	1655
100313835	0
