Geneid	HMECPIT1_3
115350	0
922	0
55243	2608
646268	0
912	67
909	0
911	0
910	0
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	0
81448	0
391114	0
128371	0
128372	0
81442	0
4332	0
149628	0
3428	1118
9447	6
100189166	0
57863	0
100131825	0
2532	0
2205	0
441911	0
26476	0
127385	0
325	0
1401	0
54935	470
343413	0
56833	15
284677	35
391123	39
25790	12
100422852	0
8407	4518
57549	0
89886	0
100505633	0
93183	71
3766	0
3765	3
93185	1783
477	0
480	0
844	0
729867	11
8682	1628
50717	1390
5824	2249
4807	4
1314	8114
474338	18
23385	1354
57216	0
114836	0
8832	0
6504	0
962	0
57823	0
4063	0
51744	0
55600	0
101928372	0
142683	0
50848	1406
100131187	0
7391	649
257106	13
81607	0
126823	10
5202	289
4817	830
9191	402
51506	1040
27005	197
5498	371
8703	572
9507	1139
4720	1005
2207	0
336	0
84134	234
100847090	0
9970	5
654790	0
4359	4
6391	932
257177	94
100189373	0
100189407	0
100189402	1
100188997	2
100189412	0
100189394	0
100189366	0
100189091	0
100189260	0
100189235	0
100189009	0
100189252	0
100189385	0
100189141	0
100189290	0
100189316	0
100189230	0
100189259	0
100189188	1
100189134	0
100189364	0
100189160	0
100189017	0
100189039	0
100189120	0
100189139	0
100189274	0
2212	4
100189380	0
3310	5
100189018	1
100189011	0
100189126	7
2214	0
9103	0
3311	0
100189003	0
2215	0
2213	1
641311	0
84824	163
127943	72
11266	480
102724329	5
22926	1989
25903	80
9722	7
100616386	0
693141	0
284680	0
400793	9
117157	0
127933	13885
6675	2836
4921	6182
51478	578
339512	58
5999	365
8490	114
101928404	4
83540	797
100422212	0
5087	130
100505795	1
4009	0
6258	0
400794	0
440699	0
4259	3022
223	1151
440700	0
54499	2898
100147773	2
7371	664
100500832	0
149297	0
100126349	0
116123	0
57645	793
117143	340
387597	0
84944	0
10223	0
92235	0
101928484	0
5451	406
919	0
8804	2499
92241	5
100189211	0
100189019	0
9019	5742
55811	10
25874	2011
55827	1909
100313835	0
23432	1463
261726	3246
375035	110
84832	291
9095	27
693142	0
100505918	0
101928565	0
6846	0
6375	0
1805	0
79100	0
101978719	0
101928596	45
481	710
29922	768
8548	1217
57821	15
10560	848
2153	1
6403	0
6402	0
6401	0
92342	167
55732	628
57147	201
22920	1317
149281	0
100423010	0
100422839	0
284688	1
101928650	7
92344	471
5396	2465
80133	0
2328	0
100302178	0
100847009	0
388714	0
2327	0
2326	0
2329	22
7151	0
23215	2316
4653	0
8674	1046
51603	216
26052	23
100874284	0
100628315	9
406996	0
100422882	0
406977	0
102724541	0
92346	1
5279	154
51430	1543
356	1
8995	200
7292	44
100506023	34
101928673	17
9588	6454
284525	0
730159	0
339416	1
27252	233
91687	322
55157	748
100506046	33
60674	2455
26769	4
26802	8
26774	29
26770	4
692198	9
26806	24
692197	2
692196	19
692195	0
619498	62
84614	82
462	0
149041	858
102724601	0
9910	639
9293	5
101928696	0
27101	1271
63931	421
63923	0
9674	0
7143	0
101928727	0
101928751	0
64326	941
677679	7
60676	6
460	0
574441	0
57795	0
102724661	0
101928778	0
89866	27
730102	94
100302401	22
9462	1535
400797	4
84066	0
105373472	2
400798	18
100616328	0
55103	3497
9068	48
9917	2334
64222	315
27	2910
6646	854
126859	3
7827	0
163589	0
148753	0
163590	4040
26092	1019
9857	2394
5768	13418
200058	174
89884	5
100527964	9
84320	416
100423032	0
148756	1
9213	629
57710	9
10228	671
3140	196
51278	720
101928973	0
100287948	0
777	0
127665	0
400799	0
2752	2692
127670	2
388719	0
353299	0
6041	59
6004	0
284648	1
85397	0
80896	92
1660	1640
81626	0
3915	13607
3918	22729
23057	522
284649	12
9887	1191
4688	20
10092	4740
23179	284
403314	7
23127	5
116461	803
102724846	0
81563	793
80267	2152
116496	2086
101929069	0
6045	889
81627	686
54823	119
10625	9208
100288079	0
101929093	0
83872	40
10216	6
7175	1919
54953	487
10896	4
102724919	3
5132	2
5743	7241
103752588	21
5321	482
104169671	0
101929766	0
339479	0
101929120	0
440704	0
64407	7
431704	0
5996	1
6003	0
100616345	13
5997	143
102724954	4
51377	625
6738	2543
51022	308
79577	1315
100302163	1
8707	38
101929184	1
343450	7
100616363	0
3075	28
10878	0
3078	0
10877	0
3080	0
81494	0
2165	0
259266	4803
360023	1932
23418	6
163486	641
388722	64
56956	2
140609	2784
127124	0
5788	1
100131234	23
406955	1
406995	0
102800316	0
104266961	0
400800	0
2494	137
554279	8
23528	1240
9928	1157
83479	226
101929224	8
23271	1190
2848	0
55765	4
23046	9
779	0
647219	0
252839	543
91156	0
5317	5
7139	0
3898	0
7135	0
23612	221
1465	6866
376693	1
89796	2051
100873949	3
100847050	0
100302158	0
55705	859
102466724	0
149345	173
25802	12
10440	494
6051	492
102465443	0
1999	1
9283	0
127829	155
5778	0
148713	0
59352	93
29089	508
4660	175
127833	3
10765	2595
100506696	8
641515	0
148709	3
5877	73
59349	460
51094	2524
51706	647
100506747	6
92703	1531
8497	43
4656	2
134	0
4608	0
1116	0
1118	0
100506775	0
730227	0
7832	0
2331	0
5549	0
26254	0
493	1767
677843	0
84719	3
54900	0
9877	3879
100381270	1397
6635	1370
284573	0
9580	179
55224	238
101929441	0
5972	31
3814	161
127845	2
22874	133
127841	0
84919	1595
5287	2
100189122	6
100189425	1
4194	618
10446	0
23114	1
6900	6
388730	12
5929	504
25778	322
9911	58
81788	59
55220	2
284576	0
93273	0
101669762	1
105371697	0
442891	0
100189098	0
5129	17
284578	0
148808	5
2005	1399
85414	123
64710	5638
8934	326
254428	650
148811	6
284581	48
115019	12
103021296	11
103021295	0
338382	7
1510	0
440712	0
553	0
729533	32
23380	767
9641	88
102466202	0
83593	32
1939	1244
8444	517
9261	1832
3586	0
29949	1
50604	1
11009	1672
9214	12
5284	0
83953	0
79098	4
5208	190
55432	421
725	0
722	0
1604	1536
1380	0
1378	0
1379	0
4179	3786
407026	4
407025	3
148696	7
947	3
105372883	3
5362	83
642587	0
406988	0
57172	35
3914	13010
100422894	3
50486	0
3290	645
80342	39
148304	77
3664	1
27042	482
255928	690
574036	22
56256	5
105373474	0
55733	24
3756	0
55758	205
7188	135
84791	120
343035	0
7779	172
4751	511
9926	2441
102723727	1
25896	198
51514	487
100131205	214
100422947	0
101929541	5
5525	794
692157	3
55248	466
29937	1582
